3
HOMEWORK 1
20
Washington,Bobbi,85
Petrovic,James,84
George,Rahul,64
Gates,Charles,79
Davis,Jack,65
Hatley,Aayush,92
Washington,Monica,89
Targaryen,Aayush,96
Bryant,Angela,70
Chan,Monica,98
James,Benjamin,84
Ketchum,Lebron,86
Jefferson,Angela,68
Jefferson,Cameron,82
Hatley,Samantha,64
Vu,Elsa,96
Parker,Benjamin,93
Petrovic,Phyllis,70
Adams,Henry,73
Lee,Monica,73
EXAM - DIGITAL LOGIC
15
George,Bobbi,83
Anderson,Lebron,94
Franklin,Leia,87
James,Hunter,66
Parker,Tina,98
Adams,David,64
O'neal,Angela,74
Petrovic,Samantha,75
O'neal,David,96
O'neal,Monica,61
Vu,Samantha,99
Davis,Hunter,68
Lee,Samantha,86
Davis,Samantha,77
Gates,Henry,85
MACHINE LEARNING PROJECT PRELIMINARY EVALUATION
16
Galo,Cameron,88
O'reilly,Shaquille,88
Anderson,Benjamin,63
Gates,Elsa,76
Gates,Phyllis,63
Bryant,Hunter,70
Johnson,Tina,70
Vu,Tristan,62
Targaryen,Hunter,89
Vu,Leia,77
Stroud,Phyllis,77
America,Bobbi,100
America,Hunter,67
Hatley,Angela,82
Franklin,Jack,87
Davis,Tina,90
